,model_name,_Val_Loss,_Dice,_IOU,_False_Negative_rate,_False_Positive_rate,_Recall
0,Attention U-Net,0.6695974902311961,0.7555478020380844,0.7000410080166183,0.36329521662659114,0.0018390497857474666,0.7897970880397904
1,DANet,0.5712602257728576,0.8473538323416163,0.7734641018152478,0.3082290440797806,0.00246889591217034,0.889512759549466
2,DeepLabv3+,0.40695335035562513,0.8755382194395883,0.8179548639132243,0.18453574329614636,0.0010618861151631734,0.9080660566975236
3,DenseASPP,0.5628738880157471,0.7143988224182538,0.6712844040454313,0.5741614460945129,0.0015245159273035195,0.7467243086550357
4,EMANet,0.3791312350829442,0.8732406166316203,0.8163058165117125,0.15881589502096177,0.0012922621361406267,0.9046997004800593
5,Inf-Net,0.7162347197532654,0.8124301571902985,0.754236380668436,0.42275436520576476,0.00367902196012432,0.9091722919378844
6,MiniSeg,0.926145162847307,0.8569303611854671,0.7925097747073546,0.42294856574800277,0.023963295544187177,0.9062718826340936
7,PSANet,0.4821988224983215,0.8703513219640323,0.8118175788895382,0.27451754957437513,0.0015539690619334199,0.8993931838473528
8,PSPNet,0.6490183174610138,0.8737937252979684,0.8178796055258856,0.22190544505914048,0.026892210667331967,0.9223950742480194
9,ResUNet++,0.5256474155646104,0.8313786875073095,0.7710371495892516,0.1888748832107133,0.004589539415274639,0.8677572524945266
10,TransUNet,0.7087926451976483,0.7657162608402212,0.7053284228608676,0.4061636535020975,0.0031488079470223538,0.7956312583515696
11,U-Net,0.6702165206273397,0.7986820794333442,0.7402016599857381,0.3403576562801997,0.012076256331056301,0.8389846273726318
